Sector,Employment_2024,Employment_Growth_Rate,AI_Automation_Risk_Percent,Forecast_2030_Best,Forecast_2030_Baseline,Forecast_2030_Worst
Healthcare,45000,8.5,15,50400,46800,45000
Finance,129850,0.5,55,132400,130750,127300
IT & Technology,28500,6.5,75,30500,29900,27800
Public Administration,67420,3.7,25,69500,67900,66500
Construction,42300,-2.5,45,40600,41400,41000
Retail & Trade,78000,-1.0,80,71500,73800,68500
Manufacturing,35200,1.2,50,34200,34800,33800
Logistics & Transport,28400,2.1,60,27000,27700,26800
Education,22500,2.3,20,23100,22900,22300
Other Services,40850,1.5,30,42100,41400,39500
